Full Name
Ishika Shah
Tulsi Singh
Nehal Pandey
Maitri Agarwal
Eva Chauhan
Jhanvi Kumar
Eesha Jha
Nishi Shah
Rajshree Goyal
Mehek Jha
Mahira Shukla
Mehak Seth
Dhriti Sharma
Arushi Kumar
Ishwari Shukla
Aadhira Yadav
Khushi Jha
Amaya Kapoor
Eesha Malhotra
Vidhi Kapoor
Devanshi Agarwal
Sarika Singh
Ojaswi Jha
Navya Mittal
Chahat Jha
Parnika Joshi
Priya Chauhan
Sneha Mittal
Ankita Singh
Sadhana Mittal
Hansa Choudhary
Khushi Mittal
Zara Chopra
Myra Singh
Pari Malhotra
Nehal Jha
Charvi Shukla
Prisha Verma
Lavanya Sharma
Sarika Chauhan
Shivani Chadha
Zoya Agarwal
Saanvi Chauhan
Anshika Saxena
Rachana Jha
Jasmine Verma
Ira Pandey
Kriti Sinha
Ishwari Verma
Pragya Yadav
Manya Verma
Paridhi Yadav
Ira Agarwal
Riya Kumar
Srishti Sachdeva
Tanya Kumar
Uma Saxena
Rhea Yadav
Anshu Saxena
Zoya Agarwal
Anshika Garg
Priyanka Sharma
Ruchika Jha
Aria Shah
Chahat Singh
Gitanjali Mittal
Ritika Sinha
Kritika Chadha
Aadhira Jha
Krishna Jha
Manya Kapoor
Kritika Agarwal
Yashika Chauhan
Vidhi Agarwal
Ananya Chauhan
Vani Gupta
Roshni Sinha
Ankita Sinha
Ritika Gupta
Anahita Gupta
Sakshi Chauhan
Deeksha Verma
Aditi Singh
Saanvi Sinha
Anshika Chauhan
Prisha Bhatia
Ishwari Yadav
Deepti Sharma
Vidhi Bhatia
Aruna Shukla
Trisha Sharma
Shruti Tiwari
Yashika Khanna
Mansi Jha
Rajshree Singh
Charvi Arora
Ritika Gupta
Riya Yadav
Tanya Gupta
Nehal Verma
Ira Verma
Rishika Jha
Ritika Goyal
Arushi Sharma
Sanvi Chauhan
Sadhana Gupta
Mahi Verma
Lakshita Verma
Mahira Verma
Ridhi Gupta
Kashvi Shah
Anushka Chopra
Ishaani Chauhan
Anshu Chauhan
Arya Shah
Jhanvi Sharma
Ria Verma
Kritika Garg
Urvashi Jha
Misha Kumar
Kiran Malhotra
Tara Chauhan
Vani Verma
Jhanvi Verma
Charu Verma
Nishi Sharma
Neha Chauhan
Yashika Kumar
Anushka Kumar
Sarika Singh
Chitra Verma
Tara Malhotra
Vidhi Choudhary
Charvi Jha
Isha Singh
Jasmine Jha
Anisha Singh
Anisha Jha
Trisha Bhatia
Maitri Choudhary
Anushka Gupta
Anvi Yadav
Mehak Sharma
Sakshi Singh
Aayat Chopra
Dhriti Sharma
Yamini Saxena
Siya Sachdeva
Nandita Sharma
Pooja Seth
Mahika Singh
Zoya Mittal
Vani Chauhan
Aditi Verma
Rashi Sharma
Yamini Singh
Gitanjali Kumar
Trisha Chauhan
Anushka Singh
Vidhi Jha
Trisha Saxena
Anvita Singh
Ritika Shah
Parineeti Tiwari
Sakshi Singh
Anupriya Sharma
Aria Singh
Vaishnavi Yadav
Aashi Singh
Saisha Verma
Urvi Gupta
Trisha Garg
Eva Sharma
Hridhaan Jha
Trisha Verma
Mehek Saxena
Juhi Gupta
Nandini Sinha
Manya Mittal
Eshita Sharma
Charvi Jha
Rajshree Saxena
Aayat Pandey
Kiara Verma
Deepti Sharma
Vaishali Goyal
Vanya Yadav
Sanvi Chopra
Eva Verma
Ishika Verma
Gauri Chauhan
Ishika Malhotra
Ritvi Yadav
Shalini Jha
Ariana Sharma
Jiya Kumar
Sneha Sharma
Kiran Kapoor
Pranjal Choudhary
Yashika Singh
Ishika Singh
Parnika Jha
Tara Jha
Ava Sinha
Sakshi Yadav
Vaishnavi Sharma
Isha Singh
Pragya Singh
Niharika Agarwal
Samaira Singh
Vrinda Sharma
Zara Yadav
Ira Yadav
Inaaya Yadav
Aradhana Jha
Navika Verma
Kavya Saxena
Vasundhara Tiwari
Myra Singh
Aanya Singh
Trisha Sharma
Anushree Jha
Suhani Chauhan
Nyra Arora
Lekha Jha
Rajshree Kumar
Anshika Kapoor
Hansa Sinha
Ritika Choudhary
Ishwari Yadav
Ishika Singh
Mansi Verma
Saumya Singh
Kiara Saxena
Sonia Sharma
Vedika Sharma
Nandita Chopra
Apoorva Singh
Samaira Chopra
Aarohi Chopra
Shreya Chauhan
Amaira Chauhan
Anupriya Mittal
Ananya Verma
Rachana Jha
Lakshmi Singh
Nehal Sharma
Anshika Sinha
Saanvi Singh
Tanisha Joshi
Ruchi Singh
Ritika Agarwal
Ritika Agarwal
Mehak Jha
Aashi Sinha
Radha Jha
Charu Sharma
Aayat Bhatia
Ishwari Yadav
Ava Sharma
Trisha Yadav
Maitri Jha
Aditi Yadav
Navika Singh
Gitanjali Tiwari
Eesha Sinha
Tanvi Sharma
Jiya Kumar
Ishika Sharma
Sakshi Verma
Anahita Pandey
Tanya Garg
Bhavya Shukla
Vidhi Verma
Rajshree Sharma
Pragya Verma
Vani Agarwal
Dia Yadav
Kashvi Jha
Bela Jha
Urvashi Verma
Anisha Singh
Kavya Sharma
Ria Jha
Sanya Gupta
Anvi Agarwal
Aayat Verma
Jasmine Yadav
Ruchi Jha
Yamini Verma
Ishika Kapoor
Lavanya Khanna
Khushi Joshi
Neha Jha
Paridhi Verma
Gargee Shah
Bhavika Bhatia
Janvi Sharma
Sanya Verma
Urvashi Kumar
Pari Pandey
Nehal Singh
Nyra Chauhan
Eesha Sinha
Minal Jha
Anushka Jha
Sanya Agarwal
Shikha Singh
Mansi Singh
Poonam Sinha
Isha Gupta
Kirti Verma
Anika Khanna
Urvashi Yadav
Hridhaan Seth
Lakshmi Malhotra
Prisha Mittal
Inaaya Singh
Isha Pandey
Anvi Jha
Arya Sharma
Janvi Garg
Anshika Sharma
Saanvi Jha
Lakshmi Jha
Ishika Singh
Juhi Chadha
Ruchi Singh
Vanya Tiwari
Ishika Sharma
Gitanjali Tiwari
Lavanya Singh
Gargee Pandey
Yashika Yadav
Pankhuri Chadha
Isha Khanna
Kiara Tiwari
Eva Sharma
Trisha Sinha
Pihu Kumar
Nyra Joshi
Shanaya Sinha
Bela Pandey
Tanaya Kumar
Kanak Verma
Vidhi Sinha
Mansi Shukla
Vani Chopra
Nyra Singh
Kriti Jha
Nitya Agarwal
Ira Kumar
Riya Singh
Parnika Chauhan
Jhanvi Jha
Priti Tiwari
Chitra Saxena
Navya Sachdeva
Anshika Yadav
Kiara Choudhary
Amaira Gupta
Khushi Sinha
Anisha Jha
Anahita Sinha
Aadhira Kumar
Navika Jha
Inaya Garg
Tara Tiwari
Ishita Goyal
Alisha Kumar
Kriti Sharma
Chhaya Seth
Minal Jha
Saanvi Kumar
Rajshree Jha
Akshara Verma
Gayatri Sinha
Mehak Verma
Tara Choudhary
Ishwarya Agarwal
Anisha Singh
Aashi Mittal
Urvi Jha
Leela Sharma
Samaira Bhatia
Shivangi Verma
Divya Goyal
Samaira Singh
Devika Verma
Aruna Shah
Vaishali Jha
Pari Bhatia
Lakshmi Chopra
Navika Verma
Anvi Agarwal
Ariana Singh
Neha Yadav
Ananya Agarwal
Khushi Agarwal
Aarna Khanna
Urvi Verma
Saniya Shah
Uma Sharma
Srishti Pandey
Mehak Khanna
Pooja Tiwari
Juhi Choudhary
Saanvi Choudhary
Ava Pandey
Mehak Saxena
Urvi Tiwari
Rishika Tiwari
Trisha Sharma
Deeksha Singh
Navya Tiwari
Dia Verma
Lavanya Kumar
Priti Yadav
Vani Malhotra
Tanushree Jha
Gauri Sharma
Vedika Yadav
Niharika Agarwal
Deepti Gupta
Vani Singh
Gargi Tiwari
Dia Seth
Kashish Jha
Isha Verma
Anupriya Jha
Tulsi Verma
Kanak Jha
Radha Sharma
Isha Tiwari
Zara Khanna
Vasundhara Jha
Mahika Jha
Zoya Sharma
Nandita Chauhan
Gayatri Verma
Anushka Malhotra
Parnika Verma
Avni Agarwal
Drishti Choudhary
Trisha Verma
Anisha Goyal
Vani Singh
Aashi Chopra
Lekha Chopra
Priti Sharma
Pranjal Joshi
Vaishali Verma
Anvi Sharma
Aadhira Verma
Aayat Jha
Tara Sharma
Aayat Yadav
Isha Chadha
Kashvi Verma
Aria Agarwal
Vrinda Jha
Ishwari Agarwal
Priti Choudhary
Nikita Singh
Lakshita Arora
Sanya Jha
Reema Sharma
Aanya Tiwari
Ritvi Jha
Radhika Tiwari
Dhriti Verma
Ariana Verma
Urvi Jha
Deepti Saxena
Ishika Kumar
Yashika Verma
Reema Gupta
Apoorva Yadav
Mehek Verma
Jhanvi Gupta
Aashi Singh
Aashi Chauhan
Lakshmi Chauhan
Kashvi Sharma
Bhavika Verma
Shivani Sharma
Mahira Jha
Anisha Jha
Amaya Sachdeva
Jhanvi Chauhan
Sara Verma
Zara Chadha
Anika Goyal
Kashvi Sinha
Ariana Yadav
Palak Singh
Suhani Malhotra
Chahat Verma
Aashi Singh
Sarika Pandey
Aashi Kumar
Zoya Jha
Kiara Jha
Aadhira Choudhary
Isha Agarwal
Ritisha Seth
Trisha Yadav
Anupriya Verma
Myra Sachdeva
Aanya Yadav
Zara Verma
Kiran Yadav
Mansi Gupta
Anvita Verma
Kiara Sinha
Anvi Tiwari
Pari Shukla
Ariana Yadav
Aradhya Verma
Ritika Gupta
Ritika Singh
Samaira Chopra
Vanya Sinha
Bhoomi Malhotra
Aashi Agarwal
Jhanvi Garg
Isha Pandey
Vaishali Sharma
Gargee Choudhary
Saanvi Singh
Shruti Yadav
Pranjal Garg
Kavya Yadav
Bhavna Pandey
Deepti Singh
Anahita Pandey
Parineeti Jha
Tanaya Malhotra
Parineeti Pandey
Khushi Sinha
Ananya Shah
Sonia Singh
Tanushree Saxena
Kriti Sharma
Kaira Pandey
Nikita Agarwal
Saanvi Sharma
Anushka Singh
Rashi Yadav
Kirti Jha
Jasmine Singh
Rajshree Sachdeva
Mahi Sachdeva
Palak Bhatia
Ishika Singh
Lekha Yadav
Gitanjali Singh
Eva Yadav
Kirti Singh
Riya Gupta
Poonam Verma
Zara Chauhan
Pari Bhatia
Sonia Chauhan
Uma Chopra
Ariana Choudhary
Hansa Tiwari
Aadya Garg
Gauri Yadav
Zoya Agarwal
Kavya Shukla
Sakshi Garg
Drishti Yadav
Aashi Sinha
Manya Verma
Vrinda Kumar
Akshara Shukla
Anushka Malhotra
Trisha Singh
Kashvi Kumar
Jasmine Singh
Nitya Tiwari
Kavya Tiwari
Anisha Garg
Bela Sharma
Riva Verma
Saanvi Malhotra
Amaya Sharma
Priti Verma
Vaishali Sharma
Amaira Garg
Aanya Shah
Reema Khanna
Pankhuri Singh
Lakshmi Malhotra
Nyra Garg
Chahat Shukla
Ritvi Singh
Aadya Shukla
Aruna Pandey
Ishani Chopra
Devanshi Singh
Ishika Verma
Lavanya Chauhan
Niharika Verma
Bela Joshi
Hansa Sharma
Neha Singh
Lavanya Verma
Sanya Gupta
Aradhya Chopra
Kiara Agarwal
Leela Verma
Yamini Arora
Vaishali Pandey
Sonia Sharma
Aadhira Bhatia
Yashika Sharma
Rishika Shah
Nehal Mittal
Nyra Jha
Anoushka Sharma
